mirId	Family/Cluster	Cancer	Profile	PubMed Article
hsa-miR-135a-5p		lung cancer	up	Downregulation of lysyl oxidase-like 4 LOXL4 by miR-135a-5p promotes lung cancer progression in vitro and in vivo.
hsa-miR-708		lung cancer	up	Relevance function of microRNA-708 in the pathogenesis of cancer.
hsa-miR-378		lung cancer	up	Circular RNA hsa_circ_0007059 restrains proliferation and epithelial-mesenchymal transition in lung cancer cells via inhibiting microRNA-378.
hsa-miR-520f		lung cancer	down	MiR-520f acts as a biomarker for the diagnosis of lung cancer.
hsa-miR-939-3p		lung cancer	up	Overexpression of miR-939-3p predicts poor prognosis and promotes progression in lung cancer.
hsa-miR-660		lung cancer	down	Coated cationic lipid-nanoparticles entrapping miR-660 inhibit tumor growth in patient-derived xenografts lung cancer models.
hsa-miR-1307-3p		lung cancer	up	MicroRNA-1307-3p promotes lung cancer cell proliferation by targeting EGFR.
hsa-miR-129-5p		lung cancer	down	Tumor suppressor function of miR-129-5p in lung cancer.
hsa-miR-10a		lung cancer	up	miRNA-10a promotes cancer cell proliferation in oral squamous cell carcinoma by upregulating GLUT1 and promoting glucose metabolism.
hsa-miR-423-3p		lung cancer	up	Overexpression of microRNA-423-3p indicates poor prognosis and promotes cell proliferation, migration, and invasion of lung cancer.
hsa-miR-146a		lung cancer	down	miR-146a and miR-196a-2 genes polymorphisms and its circulating levels in lung cancer patients.
hsa-miR-125b		lung cancer	up	Genetic variations in miR-125 family and the survival of non-small cell lung cancer in Chinese population.
hsa-miR-1236-3p		lung cancer	down	microRNA-1236-3p Regulates DDP Resistance in Lung Cancer Cells.
hsa-miR-600		lung cancer	down	miR-600 inhibits lung cancer via downregulating the expression of METTL3.
hsa-miR-544a		lung cancer	down	LEF1-AS1 contributes to proliferation and invasion through regulating miR-544a/ FOXP1 axis in lung cancer.
hsa-miR-431		lung cancer	down	MiR-431 suppresses proliferation and metastasis of lung cancer via down-regulating DDX5.
hsa-miR-210		lung cancer	up	miR-210 promotes lung adenocarcinoma proliferation, migration, and invasion by targeting lysyl oxidase-like 4.
hsa-miR-203		lung carcinoma	down	miR-203 Inhibits Frizzled-2 Expression via CD82/KAI1 Expression in Human Lung Carcinoma Cells.
hsa-miR-1244		lung carcinoma	down	miR-1244/Myocyte Enhancer Factor 2D Regulatory Loop Contributes to the Growth of Lung Carcinoma.
hsa-miR-31		lung carcinoma	down	MiR-31 Functions as a Tumor Suppressor in Lung Adenocarcinoma Mainly by Targeting HuR.
hsa-miR-204		lung carcinoma	down	miR-204 suppresses non-small-cell lung carcinoma (NSCLC) invasion and migration by targeting JAK2.
hsa-miR-30e		lung carcinoma	down	MicroRNA-30e reduces cell growth and enhances drug sensitivity to gefitinib in lung carcinoma.
hsa-miR-24		lung carcinoma	up	MiR-24 promotes the proliferation and apoptosis of lung carcinoma via targeting MAPK7.
hsa-miR-23b		lung carcinoma	down	miR-23b suppresses lung carcinoma cell proliferation through CCNG1.
hsa-miR-126		small cell lung cancer	down	miR-126 inhibits proliferation of small cell lung cancer cells by targeting SLC7A5.
hsa-miR-138		small cell lung cancer	down	MicroRNA-138 Regulates DNA Damage Response in Small Cell Lung Cancer Cells by Directly Targeting H2AX.
hsa-miR-25		small cell lung cancer	up	MicroRNA-25 regulates small cell lung cancer cell development and cell cycle through cyclin E2.
hsa-miR-27a		small cell lung cancer	down	miR-27a regulates the self renewal of the H446 small cell lung cancer cell line in vitro.
hsa-miR-520a-3p		small cell lung cancer	down	microRNA-520a-3p inhibits proliferation and cancer stem cell phenotype by targeting HOXD8 in non-small cell lung cancer.
hsa-miR-216a-5p		small cell lung cancer	down	miR-216a-5p inhibits malignant progression in small cell lung cancer: involvement of the Bcl-2 family proteins.
hsa-miR-26b		small cell lung cancer	down	MicroRNA-26b suppresses tumorigenicity and promotes apoptosis in small cell lung cancer cells by targeting myeloid cell leukemia 1 protein.
hsa-miR-886-3p		small cell lung cancer	down	MicroRNA-886-3P functions as a tumor suppressor in small cell lung cancer.
hsa-let-7a		non-small cell lung cancer	down	Circulating micro-RNA expression profiles in early stage nonsmall cell lung cancer.
hsa-let-7c		non-small cell lung cancer	down	MicroRNA let-7c inhibits migration and invasion of human non-small cell lung cancer by targeting ITGB3 and MAP4K3.
hsa-miR-1		non-small cell lung cancer	down	MiR-1 targets PIK3CA and inhibits tumorigenic properties of A549 cells.
hsa-miR-100		non-small cell lung cancer	down	MicroRNA-100 is a potential molecular marker of non-small cell lung cancer and functions as a tumor suppressor by targeting polo-like kinase 1.
hsa-miR-100		non-small cell lung cancer	down	Overexpression of miR-100 inhibits cancer growth, migration, and chemosensitivity in human NSCLC cells through fibroblast growth factor receptor 3.
hsa-miR-101		non-small cell lung cancer	down	MicroRNA-101 exerts tumor-suppressive functions in non-small cell lung cancer through directly targeting enhancer of zeste homolog 2.
hsa-miR-101		non-small cell lung cancer	down	MiR-101 and Mcl-1 in non-small-cell lung cancer: expression profile and clinical significance.
hsa-miR-106a		non-small cell lung cancer	down	Circulating micro-RNA expression profiles in early stage nonsmall cell lung cancer.
hsa-miR-107		non-small cell lung cancer	down	Clinicopathological and prognostic significance of microRNA-107 in human non small cell lung cancer.
hsa-miR-10a		non-small cell lung cancer	up	MiRNA-10a is upregulated in NSCLC and may promote cancer by targeting PTEN.
hsa-miR-10b		non-small cell lung cancer	up	MicroRNA-10b indicates a poor prognosis of non-small cell lung cancer and targets E-cadherin.
hsa-miR-10b		non-small cell lung cancer	up	microRNA miR-10b inhibition reduces cell proliferation and promotes apoptosis in non-small cell lung cancer (NSCLC) cells.
hsa-miR-1238		non-small cell lung cancer	down	miR-1238 inhibits cell proliferation by targeting LHX2 in non-small cell lung cancer.
hsa-miR-124		non-small cell lung cancer	down	miRNA-124 down-regulates SOX8 expression and suppresses cell proliferation in non-small cell lung cancer.
hsa-miR-124		non-small cell lung cancer	down	miRNA-124 down-regulates SOX8 expression and suppresses cell proliferation in non-small cell lung cancer.
hsa-miR-124		non-small cell lung cancer	down	Down-regulation of microRNA-124 is correlated with tumor metastasis and poor prognosis in patients with lung cancer.
hsa-miR-125a-3p		non-small cell lung cancer	down	Hsa-miR-125a-3p and hsa-miR-125a-5p are downregulated in non-small cell lung cancer and have inverse effects on invasion and migration of lung cancer cells.
hsa-miR-125a-3p		non-small cell lung cancer	down	miR-125a-3p targets MTA1 to suppress NSCLC cell proliferation, migration, and invasion.
hsa-miR-125a-5p		non-small cell lung cancer	down	Hsa-miR-125a-3p and hsa-miR-125a-5p are downregulated in non-small cell lung cancer and have inverse effects on invasion and migration of lung cancer cells.
hsa-miR-125a-5p		non-small cell lung cancer	up	Serum miR-125a-5p, miR-145 and miR-146a as diagnostic biomarkers in non-small cell lung cancer.
hsa-miR-126		non-small cell lung cancer	down	miR-126 inhibits non-small cell lung cancer cells proliferation by targeting EGFL7.
hsa-miR-126		non-small cell lung cancer	down	miR-126 enhances the sensitivity of non-small cell lung cancer cells to anticancer agents by targeting vascular endothelial growth factor A.
hsa-miR-126		non-small cell lung cancer	down	MicroRNA-126 inhibits tumor cell growth and its expression level correlates with poor survival in non-small cell lung cancer patients.
hsa-miR-126		non-small cell lung cancer	down	Use of Luminex xMAP bead-based suspension array for detecting microRNA in NSCLC tissues and its clinical application.
hsa-miR-126		non-small cell lung cancer	down	Expression of microRNA miR-126 and miR-200c is associated with prognosis in patients with non-small cell lung cancer.
hsa-miR-126*		non-small cell lung cancer	down	Clinical evaluation of microRNA expression profiling in non small cell lung cancer.
hsa-miR-1280		non-small cell lung cancer	up	Upregulation of MiR-1280 Expression in Non-small Cell Lung Cancer Tissues.
hsa-miR-129		non-small cell lung cancer	down	MiR-129 regulates MMP9 to control metastasis of non-small cell lung cancer.
hsa-miR-133a		non-small cell lung cancer	down	MiR-133a is downregulated in non-small cell lung cancer: a study of clinical significance.
hsa-miR-136		non-small cell lung cancer	up	Upregulation of miR-136 in human non-small cell lung cancer cells promotes Erk1/2 activation by targeting PPP2R2A.
hsa-miR-137		non-small cell lung cancer	down	microRNA-137 functions as a tumor suppressor in human non-small cell lung cancer by targeting SLC22A18.
hsa-miR-138		non-small cell lung cancer	down	MiR-138 Inhibits Tumor Growth Through Repression of EZH2 in Non-Small Cell Lung Cancer.
hsa-miR-138		non-small cell lung cancer	down	miR-138 inhibits proliferation by targeting 3-phosphoinositide-dependent protein kinase-1 in non-small cell lung cancer cells.
hsa-miR-138		non-small cell lung cancer	down	Prognostic potential of microRNA-138 and its target mRNA PDK1 in sera for patients with non-small cell lung cancer.
hsa-miR-138		non-small cell lung cancer	up	MicroRNA-138 negatively regulates non-small cell lung cancer cells through the interaction with cyclin D3.
hsa-miR-138		non-small cell lung cancer	down	MiR-138 inhibits cell proliferation and reverses epithelial-mesenchymal transition in non-small cell lung cancer cells by targeting GIT1 and SEMA4C.
hsa-miR-139		non-small cell lung cancer	down	Histone methylation-mediated silencing of miR-139 enhances invasion of non-small-cell lung cancer.
hsa-miR-139-5p		non-small cell lung cancer	down	MicroRNA-139-5p inhibits cell proliferation and invasion by targeting insulin-like growth factor 1 receptor in human non-small cell lung cancer.
hsa-miR-140		non-small cell lung cancer	up	Peripheral Blood miR-328 Expression as a Potential Biomarker for the Early Diagnosis of NSCLC.
hsa-miR-140		non-small cell lung cancer	down	miR-140 Suppresses Tumor Growth and Metastasis of Non-Small Cell Lung Cancer by Targeting Insulin-Like Growth Factor 1 Receptor.
hsa-miR-141		non-small cell lung cancer	up	High expression of serum miR-21 and tumor miR-200c associated with poor prognosis in patients with lung cancer.
hsa-miR-141		non-small cell lung cancer	up	MicroRNA-141 promotes the proliferation of non-small cell lung cancer cells by regulating expression of PHLPP1 and PHLPP2.
hsa-miR-141		non-small cell lung cancer	up	MicroRNA-141 is a biomarker for progression of squamous cell carcinoma and adenocarcinoma of the lung: clinical analysis of 125 patients.
hsa-miR-142-3p		non-small cell lung cancer	up	MiR-142-3p represses TGF-?-induced growth inhibition through repression of TGF?R1 in non-small cell lung cancer.
hsa-miR-143		non-small cell lung cancer	down	miR-143 inhibits NSCLC cell growth and metastasis by targeting Limk1.
hsa-miR-143		non-small cell lung cancer	down	miR-143 inhibits cell proliferation by targeting autophagy-related 2B in non-small cell lung cancer H1299 cells.
hsa-miR-145		non-small cell lung cancer	down	miRNA-145 inhibits non-small cell lung cancer cell proliferation by targeting c-Myc.
hsa-miR-145		non-small cell lung cancer	down	Use of Luminex xMAP bead-based suspension array for detecting microRNA in NSCLC tissues and its clinical application.
hsa-miR-145		non-small cell lung cancer	down	MiR-145 acts as a metastasis suppressor by targeting metadherin in lung cancer.
hsa-miR-145		non-small cell lung cancer	down	Low miR-145 expression level is associated with poor pathological differentiation and poor prognosis in non-small cell lung cancer.
hsa-miR-145		non-small cell lung cancer	up	Serum miR-125a-5p, miR-145 and miR-146a as diagnostic biomarkers in non-small cell lung cancer.
hsa-miR-145		non-small cell lung cancer	down	Low miR-145 silenced by DNA methylation promotes NSCLC cell proliferation, migration and invasion by targeting mucin 1.
hsa-miR-145		non-small cell lung cancer	down	MicroRNA-145 inhibits migration and invasion via inhibition of fascin 1 protein expression in non-small-cell lung cancer cells.
hsa-miR-146a		non-small cell lung cancer	down	miR-146a inhibits cell growth, cell migration and induces apoptosis in non-small cell lung cancer cells.
hsa-miR-146a		non-small cell lung cancer	down	MicroRNA-146a rs2910164 polymorphism is associated with susceptibility to non-small cell lung cancer in the Chinese population.
hsa-miR-146a		non-small cell lung cancer	up	Serum miR-125a-5p, miR-145 and miR-146a as diagnostic biomarkers in non-small cell lung cancer.
hsa-miR-146a		non-small cell lung cancer	down	MicroRNA-146a inhibits epithelial mesenchymal transition in non-small cell lung cancer by targeting insulin receptor substrate 2.
hsa-miR-146b		non-small cell lung cancer	down	Circulating micro-RNA expression profiles in early stage nonsmall cell lung cancer.
hsa-miR-148a		non-small cell lung cancer	down	MicroRNA-148a suppresses epithelial-to-mesenchymal transition by targeting ROCK1 in non-small cell lung cancer cells.
hsa-miR-148a		non-small cell lung cancer	down	Decreased miRNA-148a is associated with lymph node metastasis and poor clinical outcomes and functions as a suppressor of tumor metastasis in non-small cell lung cancer.
hsa-miR-148a		non-small cell lung cancer	down	Serum miR-152, miR-148a, miR-148b, and miR-21 as novel biomarkers in non-small cell lung cancer screening.
hsa-miR-148a		non-small cell lung cancer	down	MicroRNA-148a reduces tumorigenesis and increases TRAIL-induced apoptosis in NSCLC.
hsa-miR-148b		non-small cell lung cancer	down	miR-148b functions as a tumor suppressor in non-small cell lung cancer by targeting carcinoembryonic antigen (CEA).
hsa-miR-148b		non-small cell lung cancer	down	Serum miR-152, miR-148a, miR-148b, and miR-21 as novel biomarkers in non-small cell lung cancer screening.
hsa-miR-148b		non-small cell lung cancer	down	MicroRNA-148b is down-regulated in non-small cell lung cancer and associated with poor survival.
hsa-miR-149		non-small cell lung cancer	down	miR-149 Inhibits Non-Small-Cell Lung Cancer Cells EMT by Targeting FOXM1.
hsa-miR-150		non-small cell lung cancer	up	Increased expression of microRNA-150 is associated with poor prognosis in non-small cell lung cancer.
hsa-miR-152		non-small cell lung cancer	down	MicroRNA-152 targets ADAM17 to suppress NSCLC progression.
hsa-miR-152		non-small cell lung cancer	down	Serum miR-152, miR-148a, miR-148b, and miR-21 as novel biomarkers in non-small cell lung cancer screening.
hsa-miR-153		non-small cell lung cancer	down	MiR-153 inhibits migration and invasion of human non-small-cell lung cancer by targeting ADAM19.
hsa-miR-154		non-small cell lung cancer	down	miR-154 suppresses non-small cell lung cancer growth in vitro and in vivo.
hsa-miR-155		non-small cell lung cancer	down	Circulating micro-RNA expression profiles in early stage nonsmall cell lung cancer.
hsa-miR-15a		non-small cell lung cancer	down	MicroRNA-15a induces cell apoptosis and inhibits metastasis by targeting BCL2L2 in non-small cell lung cancer.
hsa-miR-16		non-small cell lung cancer	down	Downregulation of miR-16 promotes growth and motility by targeting HDGF in non-small cell lung cancer cells.
hsa-miR-17-5p		non-small cell lung cancer	down	Circulating micro-RNA expression profiles in early stage nonsmall cell lung cancer.
hsa-miR-181a-5p		non-small cell lung cancer	down	MiR-181a-5p inhibits cell proliferation and migration by targeting Kras in non-small cell lung cancer A549 cells.
hsa-miR-181b		non-small cell lung cancer	down	Down-regulation of microRNA-181b is a potential prognostic marker of non-small cell lung cancer.
hsa-miR-181c	mir-181	non-small cell lung cancer	down	MicroRNA-181 functions as a tumor suppressor in non-small cell lung cancer (NSCLC) by targeting Bcl-2.
hsa-miR-181d	mir-181	non-small cell lung cancer	down	MicroRNA-181 functions as a tumor suppressor in non-small cell lung cancer (NSCLC) by targeting Bcl-2.
hsa-miR-184		non-small cell lung cancer	down	MicroRNA-184 Deregulated by the MicroRNA-21 Promotes Tumor Malignancy and Poor Outcomes in Non-small Cell Lung Cancer via Targeting CDC25A and c-Myc.
hsa-miR-186		non-small cell lung cancer	down	miR-186 downregulation correlates with poor survival in lung adenocarcinoma, where it interferes with cell-cycle regulation.
hsa-miR-186		non-small cell lung cancer	down	MiR-186 targets ROCK1 to suppress the growth and metastasis of NSCLC cells.
hsa-miR-18a		non-small cell lung cancer	up	Peripheral Blood miR-328 Expression as a Potential Biomarker for the Early Diagnosis of NSCLC.
hsa-miR-193a-3p		non-small cell lung cancer	down	Expression and clinicopathological significance of miR-193a-3p and its potential target astrocyte elevated gene-1 in non-small lung cancer tissues.
hsa-miR-193b		non-small cell lung cancer	down	MicroRNA-193b modulates proliferation, migration, and invasion of non-small cell lung cancer cells.
hsa-miR-195		non-small cell lung cancer	down	MicroRNA-195 inhibits non-small cell lung cancer cell proliferation, migration and invasion by targeting MYB.
hsa-miR-195		non-small cell lung cancer	down	miR-195 inhibits the growth and metastasis of NSCLC cells by targeting IGF1R.
hsa-miR-195		non-small cell lung cancer	down	MiR-195 suppresses non-small cell lung cancer by targeting CHEK1.
hsa-miR-196a		non-small cell lung cancer	up	MicroRNA-196a promotes non-small cell lung cancer cell proliferation and invasion through targeting HOXA5.
hsa-miR-199a		non-small cell lung cancer	down	MiR-199a suppresses the hypoxia-induced proliferation of non-small cell lung cancer cells through targeting HIF1?
hsa-miR-19a		non-small cell lung cancer	up	Serum miR-19a expression correlates with worse prognosis of patients with non-small cell lung cancer.
hsa-miR-200a		non-small cell lung cancer	up	MiR-200a enhances the migrations of A549 and SK-MES-1 cells by regulating the expression of TSPAN1.
hsa-miR-200c		non-small cell lung cancer	up	High expression of serum miR-21 and tumor miR-200c associated with poor prognosis in patients with lung cancer.
hsa-miR-200c		non-small cell lung cancer	up	Expression of microRNA miR-126 and miR-200c is associated with prognosis in patients with non-small cell lung cancer.
hsa-miR-203		non-small cell lung cancer	down	MicroRNA-203 inhibits cellular proliferation and invasion by targeting Bmi1 in non-small cell lung cancer.
hsa-miR-204		non-small cell lung cancer	down	miR-204 functions as a tumor suppressor by regulating SIX1 in NSCLC.
hsa-miR-204		non-small cell lung cancer	down	MiR-204 inhibits human NSCLC metastasis through suppression of NUAK1.
hsa-miR-205		non-small cell lung cancer	up	Prognostic value of mature microRNA-21 and microRNA-205 overexpression in non-small cell lung cancer by quantitative real-time RT-PCR.
hsa-miR-205		non-small cell lung cancer	up	miR-205 promotes the growth, metastasis and chemoresistance of NSCLC cells by targeting PTEN.
hsa-miR-205-3p		non-small cell lung cancer	up	Relative expressions of miR-205-5p, miR-205-3p, and miR-21 in tissues and serum of non-small cell lung cancer patients.
hsa-miR-205-5p		non-small cell lung cancer	up	Relative expressions of miR-205-5p, miR-205-3p, and miR-21 in tissues and serum of non-small cell lung cancer patients.
hsa-miR-206		non-small cell lung cancer	down	miR-206 inhibits non small cell lung cancer cell proliferation and invasion by targeting SOX9.
hsa-miR-21		non-small cell lung cancer	up	Prognostic value of mature microRNA-21 and microRNA-205 overexpression in non-small cell lung cancer by quantitative real-time RT-PCR.
hsa-miR-21		non-small cell lung cancer	up	High expression of serum miR-21 and tumor miR-200c associated with poor prognosis in patients with lung cancer.
hsa-miR-21		non-small cell lung cancer	up	Identification of plasma microRNA-21 as a biomarker for early detection and chemosensitivity of non-small cell lung cancer.
hsa-miR-21		non-small cell lung cancer	up	Prognostic significance of serum miRNA-21 expression in human non-small cell lung cancer.
hsa-miR-21		non-small cell lung cancer	up	[Overexpression of miR-21 promotes proliferation and reduces apoptosis in non-small cell lung cancer].
hsa-miR-21		non-small cell lung cancer	up	Use of Luminex xMAP bead-based suspension array for detecting microRNA in NSCLC tissues and its clinical application.
hsa-miR-21		non-small cell lung cancer	up	Reduction of Plasma MicroRNA-21 is Associated with Chemotherapeutic Response in Patients with Non-small Cell Lung Cancer.
hsa-miR-21		non-small cell lung cancer	up	Clinical evaluation of microRNA expression profiling in non small cell lung cancer.
hsa-miR-21		non-small cell lung cancer	up	Overexpression of miRNA-21 promotes radiation-resistance of non-small cell lung cancer.
hsa-miR-21		non-small cell lung cancer	up	Let-7g and miR-21 expression in non-small cell lung cancer: Correlation with clinicopathological and molecular features.
hsa-miR-21		non-small cell lung cancer	up	MiR-21 suppresses the anticancer activities of curcumin by targeting PTEN gene in human non-small cell lung cancer A549 cells.
hsa-miR-21		non-small cell lung cancer	up	Alteration in Mir-21/PTEN expression modulates gefitinib resistance in non-small cell lung cancer.
hsa-miR-21		non-small cell lung cancer	up	MicroRNA-21 (miR-21) regulates cellular proliferation, invasion, migration, and apoptosis by targeting PTEN, RECK and Bcl-2 in lung squamous carcinoma, Gejiu City, China.
hsa-miR-21		non-small cell lung cancer	up	Downregulation of microRNA-21 expression restrains non-small cell lung cancer cell proliferation and migration through upregulation of programmed cell death 4.
hsa-miR-211		non-small cell lung cancer	up	miR-211 promotes non-small cell lung cancer proliferation by targeting SRCIN1.
hsa-miR-212		non-small cell lung cancer	down	miR-212 increases tumor necrosis factor-related apoptosis-inducing ligand sensitivity in non-small cell lung cancer by targeting the antiapoptotic protein PED.
hsa-miR-212		non-small cell lung cancer	up	MiR-212 displays Tumor Promoting properties in NSCLC Cells and targets the Hedgehog Pathway Receptor PTCH1.
hsa-miR-212		non-small cell lung cancer	up	Synaptic acetylcholinesterase targeted by microRNA-212 functions as a tumor suppressor in non-small cell lung cancer.
hsa-miR-22		non-small cell lung cancer	up	Circulating miR-22, miR-24 and miR-34a as novel predictive biomarkers to pemetrexed-based chemotherapy in advanced non small cell lung cancer.
hsa-miR-221		non-small cell lung cancer	up	miR-221&222 regulate TRAIL resistance and enhance tumorigenicity through PTEN and TIMP3 downregulation.
hsa-miR-221		non-small cell lung cancer	down	Circulating micro-RNA expression profiles in early stage nonsmall cell lung cancer.
hsa-miR-221		non-small cell lung cancer	up	MicroRNA-221 promotes human non-small cell lung cancer cell H460 growth.
hsa-miR-222		non-small cell lung cancer	up	miR-221&222 regulate TRAIL resistance and enhance tumorigenicity through PTEN and TIMP3 downregulation.
hsa-miR-222		non-small cell lung cancer	up	Use of Luminex xMAP bead-based suspension array for detecting microRNA in NSCLC tissues and its clinical application.
hsa-miR-222		non-small cell lung cancer	up	MicroRNA-222 promotes human non-small cell lung cancer H460 growth by targeting p27.
hsa-miR-224		non-small cell lung cancer	down	Decreased microRNA-224 and its clinical significance in non-small cell lung cancer patients.
hsa-miR-224		non-small cell lung cancer	up	MicroRNA-224 is implicated in lung cancer pathogenesis through targeting caspase-3 and caspase-7.
hsa-miR-24		non-small cell lung cancer	up	Circulating miR-22, miR-24 and miR-34a as novel predictive biomarkers to pemetrexed-based chemotherapy in advanced non small cell lung cancer.
hsa-miR-24		non-small cell lung cancer	up	Upregulation of miR-24 promotes cell proliferation by targeting NAIF1 in non-small cell lung cancer.
hsa-miR-25		non-small cell lung cancer	up	Downregulation of miR-25 modulates non-small cell lung cancer cells by targeting CDC42.
hsa-miR-25		non-small cell lung cancer	up	miR-25 targets the modulator of apoptosis 1 gene in lung cancer.
hsa-miR-26b		non-small cell lung cancer	down	Down-regulation of microRNA-26b modulates non-small cell lung cancer cells chemoresistance and migration through the association of PTEN.
hsa-miR-27a		non-small cell lung cancer	down	Circulating micro-RNA expression profiles in early stage nonsmall cell lung cancer.
hsa-miR-27b		non-small cell lung cancer	down	MicroRNA-27b suppresses growth and invasion of NSCLC cells by targeting Sp1.
hsa-miR-29a		non-small cell lung cancer	down	Suppression of Wnt signaling by the miR-29 family is mediated by demethylation of WIF-1 in non-small-cell lung cancer.
hsa-miR-29b		non-small cell lung cancer	down	Preclinical rationale for combining an EGFR antibody with cisplatin/gemcitabine for the treatment of NSCLC.
hsa-miR-29b		non-small cell lung cancer	down	Suppression of Wnt signaling by the miR-29 family is mediated by demethylation of WIF-1 in non-small-cell lung cancer.
hsa-miR-29b		non-small cell lung cancer	down	MicroRNA-29b attenuates non-small cell lung cancer metastasis by targeting matrix metalloproteinase 2 and PTEN.
hsa-miR-29c		non-small cell lung cancer	up	Circulating micro-RNA expression profiles in early stage nonsmall cell lung cancer.
hsa-miR-29c		non-small cell lung cancer	down	Suppression of Wnt signaling by the miR-29 family is mediated by demethylation of WIF-1 in non-small-cell lung cancer.
hsa-miR-29c		non-small cell lung cancer	up	Expression of miR-29c, miR-93, and miR-429 as Potential Biomarkers for Detection of Early Stage Non-Small Lung Cancer.
hsa-miR-30a		non-small cell lung cancer	down	MicroRNA-30a inhibits epithelial-to-mesenchymal transition by targeting Snai1 and is downregulated in non-small cell lung cancer.
hsa-miR-30a		non-small cell lung cancer	down	MiR-30a suppresses non-small cell lung cancer progression through AKT signaling pathway by targeting IGF1R.
hsa-miR-30a		non-small cell lung cancer	down	Downregulation of MiR-30a is Associated with Poor Prognosis in Lung Cancer.
hsa-miR-30b		non-small cell lung cancer	down	MicroRNA-30b/c inhibits non-small cell lung cancer cell proliferation by targeting Rab18.
hsa-miR-30c		non-small cell lung cancer	down	Low expression of microRNA-30c promotes invasion by inducing epithelial mesenchymal transition in non-small cell lung cancer.
hsa-miR-30c		non-small cell lung cancer	down	MicroRNA-30b/c inhibits non-small cell lung cancer cell proliferation by targeting Rab18.
hsa-miR-30d		non-small cell lung cancer	down	Clinical evaluation of microRNA expression profiling in non small cell lung cancer.
hsa-miR-30d-5p		non-small cell lung cancer	down	MicroRNA-30d-5p inhibits tumour cell proliferation and motility by directly targeting CCNE2 in non-small cell lung cancer.
hsa-miR-30e-5p		non-small cell lung cancer	down	Clinical evaluation of microRNA expression profiling in non small cell lung cancer.
hsa-miR-31		non-small cell lung cancer	up	Use of Luminex xMAP bead-based suspension array for detecting microRNA in NSCLC tissues and its clinical application.
hsa-miR-32		non-small cell lung cancer	down	Expression of miR-32 in human non-small cell lung cancer and its correlation with tumor progression and patient survival.
hsa-miR-32		non-small cell lung cancer	down	Tanshinones suppress AURKA through up-regulation of miR-32 expression in non-small cell lung cancer.
hsa-miR-32		non-small cell lung cancer	down	miR-32 functions as a tumor suppressor and directly targets SOX9 in human non-small cell lung cancer.
hsa-miR-328		non-small cell lung cancer	up	Peripheral Blood miR-328 Expression as a Potential Biomarker for the Early Diagnosis of NSCLC.
hsa-miR-330-3p		non-small cell lung cancer	up	miR-330-3p controls cell proliferation by targeting early growth response 2 in non-small-cell lung cancer.
hsa-miR-335		non-small cell lung cancer	down	Effect of miR-335 upregulation on the apoptosis and invasion of lung cancer cell A549 and H1299.
hsa-miR-338-3p		non-small cell lung cancer	down	microRNA-338-3p functions as a tumor suppressor in human non?small?cell lung carcinoma and targets Ras-related protein 14.
hsa-miR-339		non-small cell lung cancer	up	Peripheral Blood miR-328 Expression as a Potential Biomarker for the Early Diagnosis of NSCLC.
hsa-miR-340		non-small cell lung cancer	down	miR-340 inhibits tumor cell proliferation and induces apoptosis by targeting multiple negative regulators of p27 in non-small cell lung cancer.
hsa-miR-342-3p		non-small cell lung cancer	down	miR-342-3p targets RAP2B to suppress proliferation and invasion of non-small cell lung cancer cells.
hsa-miR-34a		non-small cell lung cancer	up	Circulating miR-22, miR-24 and miR-34a as novel predictive biomarkers to pemetrexed-based chemotherapy in advanced non small cell lung cancer.
hsa-miR-34a		non-small cell lung cancer	down	Restoration of p53/miR-34a regulatory axis decreases survival advantage and ensures Bax-dependent apoptosis of non-small cell lung carcinoma cells.
hsa-miR-34a		non-small cell lung cancer	down	The microRNA miR-34a Inhibits Non-Small Cell Lung Cancer (NSCLC) Growth and the CD44hi Stem-Like NSCLC Cells.
hsa-miR-34b		non-small cell lung cancer	down	MicroRNA-34b functions as a tumor suppressor and acts as a nodal point in the feedback loop with Met.
hsa-miR-34c-3p		non-small cell lung cancer	down	MiR-34c-3p suppresses the proliferation and invasion of non-small cell lung cancer (NSCLC) by inhibiting PAC1/MAPK pathway.
hsa-miR-361-3p		non-small cell lung cancer	down	Low levels of cell-free circulating miR-361-3p and miR-625* as blood-based markers for discriminating malignant from benign lung tumors.
hsa-miR-365		non-small cell lung cancer	down	Associations of deregulation of mir-365 and its target mRNA TTF-1 and survival in patients with NSCLC.
hsa-miR-365		non-small cell lung cancer	down	Serum microRNA-365 in combination with its target gene TTF-1 as a non-invasive prognostic marker for non-small cell lung cancer.
hsa-miR-370		non-small cell lung cancer	down	MicroRNA-370 inhibits the progression of non-small cell lung cancer by downregulating oncogene TRAF4.
hsa-miR-373		non-small cell lung cancer	down	Epigenetic silencing of microRNA-373 to epithelial-mesenchymal transition in non-small cell lung cancer through IRAK2 and LAMP1 axes.
hsa-miR-375		non-small cell lung cancer	down	Decreased expression of microRNA-375 in nonsmall cell lung cancer and its clinical significance.
hsa-miR-375		non-small cell lung cancer	up	Claudin-1 is a novel target of miR-375 in non-small-cell lung cancer.
hsa-miR-410		non-small cell lung cancer	up	MicroRNA-410 promotes cell proliferation by targeting BRD7 in non-small cell lung cancer.
hsa-miR-429		non-small cell lung cancer	down	Expression of miR-29c, miR-93, and miR-429 as Potential Biomarkers for Detection of Early Stage Non-Small Lung Cancer.
